DBN,Zip_Code,Lat,Lon,Private_School_Count,Planned_Housing_Units,School_Age_Pop_2019,School_Age_Pop_2020,School_Age_Pop_2021,School_Age_Pop_2022,School_Age_Pop_2023
11X299,10469,40.86044,-73.8607,0,0.0,15217,14965,16427,15948,15741
84X460,,,,0,0.0,0,0,0,0,0
27Q400,11434,40.67395,-73.7827,0,0.0,14827,14165,14986,15461,14701
24Q610,11101,40.74331,-73.9296,0,0.0,5611,5773,5762,5053,5688
30Q580,11106,40.75498,-73.927,0,0.0,5442,5452,6062,5964,6246
02M442,,,,0,0.0,0,0,0,0,0
01M696,10002,40.71828,-73.9761,0,272414.0,9477,9733,10321,10028,10121
24Q299,11101,40.74418,-73.937,0,0.0,5611,5773,5762,5053,5688
02M411,10010,40.74189,-73.9857,0,0.0,4563,4603,4318,4414,4066
02M276,,,,0,0.0,0,0,0,0,0
11X169,,,,0,0.0,0,0,0,0,0
11X532,,,,0,0.0,0,0,0,0,0
26Q495,11361,40.7714,-73.781,0,0.0,4684,4989,5733,5517,6100
03M479,10036,40.76086,-73.9963,0,0.0,2074,1861,2097,2108,2119
13K595,11216,40.68549,-73.9537,0,0.0,8957,8944,8901,9680,8428
10X077,,,,0,0.0,0,0,0,0,0
84K648,,,,0,0.0,0,0,0,0,0
84K782,,,,0,0.0,0,0,0,0,0
84K037,,,,0,0.0,0,0,0,0,0
25Q294,,,,0,0.0,0,0,0,0,0
10X434,10458,40.85947,-73.8886,0,0.0,23389,23063,23286,21249,19679
13K670,11205,40.69539,-73.9688,0,0.0,13231,13800,15223,15487,14475
29Q313,11411,40.69879,-73.7463,0,0.0,3543,3612,3618,3496,3484
26Q415,11364,40.75234,-73.7573,0,0.0,7145,7153,7989,7948,7417
84X613,,,,0,0.0,0,0,0,0,0
16K455,11213,40.67848,-73.9316,0,0.0,15552,14948,15665,16216,16175
84X465,,,,0,0.0,0,0,0,0,0
84R076,,,,0,0.0,0,0,0,0,0
13K915,,,,0,0.0,0,0,0,0,0
16K627,,,,0,0.0,0,0,0,0,0
84X628,,,,0,0.0,0,0,0,0,0
84X387,,,,0,0.0,0,0,0,0,0
84X629,,,,0,0.0,0,0,0,0,0
84X586,,,,0,0.0,0,0,0,0,0
08X424,,,,0,0.0,0,0,0,0,0
10X264,10458,40.85539,-73.8825,0,0.0,23389,23063,23286,21249,19679
11X290,10467,40.87517,-73.8616,0,0.0,25413,25646,26137,23339,22698
84X419,,,,0,0.0,0,0,0,0,0
11X545,10467,40.87517,-73.8616,0,0.0,25413,25646,26137,23339,22698
11X355,,,,0,0.0,0,0,0,0,0
08X537,,,,0,0.0,0,0,0,0,0
84X619,,,,0,0.0,0,0,0,0,0
08X432,10473,40.82122,-73.8559,0,0.0,15052,14306,14139,13602,12983
12X479,10456,40.82693,-73.9006,0,0.0,25983,24695,24654,23966,24039
09X260,10456,40.83388,-73.9028,0,0.0,25983,24695,24654,23966,24039
84X718,,,,0,0.0,0,0,0,0,0
84X484,,,,0,0.0,0,0,0,0,0
84X407,,,,0,0.0,0,0,0,0,0
84X255,,,,0,0.0,0,0,0,0,0
